List of African countries by population,,,,,,,,,
,,,,,,,,,
"From Wikipedia, the free encyclopedia",,,,,,,,,
"Jump to: navigation, search",,,,,,,,,
,,,,,,,,,
"This is a list of African countries and dependent territories sorted by population, which is sorted by the 2015 mid-year normalized demographic projections.",,,,,,,,,
,,,,,,,,,
Table[edit],,,,,,,,,
,,,,,,,,,
Rank,Country,1-Jul-15, % of,Average,Average,Estimated,Official,Date of,Source
,(or dependent territory),projection[1],pop.,relative,absolute,doubling,figure,last figure,
,,,,annual,annual,time,(where,,
,,,,growth,growth,(Years)[4],available),,
,,,,(%)[2],[3],,,,
1, Nigeria,"181,563,000",15.98,2.91,"4,731,000",24,"173,000,000",2013,Official estimate
2, Ethiopia,"99,391,000",7.81,2.41,"2,424,000",29,"99,391,000",2015,Official estimate
3, Egypt,"89,125,000",7.68,2.29,"2,028,000",31,"93,937,000",23-Sep-17,Official population clock
4, Democratic Republic of the Congo,"77,267,000",6.7,3.13,"2,390,000",22,"77,267,000",1-Jul-15,Official estimate
5, South Africa,"54,957,000",4.77,1.61,"873,000",43,"54,956,900",1-Jul-15,Official estimate
6, Tanzania,"51,046,000",4.23,2.97,"1,414,000",24,"51,046,000",2015,Official estimate
7, Kenya,"45,533,000",3.84,2.87,"1,196,000",24,"45,533,000",2015,Official estimate
8, Sudan,"40,235,000",3.33,3.07,"912,000",23,"40,235,000",2015,Official estimate
9, Algeria,"39,670,000",3.46,2.07,"768,000",34,"40,100,000",1-Jan-16,Official estimate
10, Uganda,"37,102,000",3.1,3.09,"1,201,000",23,"34,856,813",28-Aug-14,Preliminary 2014 census result
11, Morocco[5],"34,380,000",3.33,1.24,"412,000",56,"33,337,529",1-Sep-14,Preliminary 2014 census result
12, Mozambique,"28,013,000",2.23,2.74,"702,000",26,"28,013,000",2015,Official estimate
13, Ghana,"27,414,000",2.4,2.48,"621,000",28,"27,043,093",2014,Official estimate
14, Angola,"25,326,000",2.2,3.43,"839,000",21,"24,383,301",16-May-14,Preliminary 2014 census result
15, Ivory Coast,"23,126,000",2.02,2.55,"451,000",27,"22,671,331",15-May-14,Preliminary 2014 census result
16, Madagascar,"23,043,000",2,2.71,"609,000",26,"22,434,363",2014,Official estimate
17, Cameroon,"21,918,000",1.9,2.65,"565,000",27,"21,917,602",2015,Official estimate
18, Niger,"18,880,000",1.64,3.86,"701,000",18,"17,138,707",10-Dec-12,Final 2012 census result
19, Burkina Faso,"18,450,000",1.6,3.26,"582,000",22,"18,450,494",2015,Official estimate
20, Mali,"17,796,000",1.54,3.3,"568,000",21,"14,528,662",1-Apr-09,Final 2009 census result
21, Malawi,"16,307,000",1.41,3.18,"502,000",22,"16,832,900",1-Jul-16,Official estimate
22, Zambia,"15,474,000",1.34,3,"451,000",23,"15,473,905",2015,Official estimate
23, Senegal,"14,150,000",1.23,2.92,"401,000",24,"14,354,690",2015,Official estimate
24, Chad,"13,675,000",1.19,3.57,"471,000",20,"11,039,873",20-May-09,Final 2009 census result
25, Zimbabwe,"13,503,000",1.17,1.17,"156,000",60,"13,061,239",17-Aug-12,Final 2012 census result
26, South Sudan,"12,519,000",1.09,5.95,"703,000",12,"8,260,490",22-Apr-08,2008 census result
27, Rwanda,"11,324,000",0.98,2.61,"288,000",27,"10,515,973",15-Aug-12,Final 2012 census result
28, Tunisia,"11,118,000",0.96,1.04,"114,000",67,"10,982,754",23-Apr-14,Preliminary 2014 census result
29, Somalia,"10,972,000",0.95,1.54,"166,000",45,"12,316,895",1-Jan-14,Official estimate
30, Guinea,"10,935,000",0.95,2.3,"246,000",30,"10,628,972",2-Apr-14,Preliminary 2014 census result
31, Benin,"10,782,000",0.93,3.54,"369,000",20,"10,008,749",11-May-13,Final 2013 census result
32, Burundi,"9,824,000",0.85,2.93,"280,000",24,"9,823,828",2015,Official estimate
33, Togo,"7,065,000",0.61,2.87,"197,000",25,"6,191,155",6-Nov-10,Final 2010 census result
34, Eritrea,"6,895,000",0.6,5.49,"359,000",13,"6,536,000",1-Jul-14,Official estimate
35, Sierra Leone,"6,513,000",0.56,2.57,"163,000",27,"6,348,350",2014,Official estimate
36, Libya,"6,278,000",0.54,1.13,"70,000",62,"5,298,152",15-Apr-06,2006 census result
37, Central African Republic,"4,900,000",0.42,2,"96,000",35,"3,859,139",8-Dec-03,2003 census result
38, Republic of the Congo,"4,706,000",0.41,2.98,"136,000",24,"3,697,490",28-Apr-07,2007 census result
39, Liberia,"4,046,000",0.35,2.09,"83,000",33,"3,476,608",21-Mar-08,Final 2008 census result
40, Mauritania,"3,632,000",0.31,2.43,"86,000",29,"3,718,678",2016,Official estimate
41, Namibia,"2,281,000",0.2,2.01,"45,000",35,"2,280,700",1-Jul-15,Official estimate
42, Botswana,"2,176,000",0.19,1.92,"41,000",36,"2,024,904",22-Aug-11,Final 2011 census result
43, Gambia,"2,022,000",0.18,3.27,"64,000",22,"1,882,450",15-Apr-13,Preliminary 2013 census result
44, Equatorial Guinea,"1,996,000",0.17,4.23,"81,000",17,"1,222,442",4-Jul-15,Preliminary 2015 census result
45, Lesotho,"1,908,000",0.17,0.21,"4,000",330,"1,894,194",2011,Official estimate
46, Gabon,"1,873,000",0.16,1.85,"34,000",38,"1,802,278",5-Oct-13,Preliminary 2013 census result
47, Guinea-Bissau,"1,788,000",0.16,2.58,"45,000",27,"1,530,673",2015,Official estimate
48, Mauritius,"1,263,000",0.11,0.16,"2,000",437,"1,261,208",1-Jul-14,Official estimate
49, Swaziland,"1,119,000",0.1,1.18,"13,000",59,"1,119,375",2015,Official estimate
50, Djibouti,"961,000",0.08,2.67,"25,000",26,"864,618",1-Jul-11,Official estimate
51, Réunion (France),"853,000",0.07,0.71,"6,000",98,"840,974",1-Jan-13,Official estimate
52, Comoros,"783,000",0.07,2.62,"20,000",27,"806,200",1-Jul-16,Official estimate
53, Cape Verde,"525,000",0.05,1.35,"7,000",52,"491,875",16-Jun-10,Final 2010 census result
54,Western Sahara[6],"509,000",0.04,1.8,"9,000",39,"510,713",2-Sep-14,Preliminary 2014 census result
55, Mayotte (France),"229,000",0.02,2.69,"6,000",26,"212,600",21-Aug-12,2012 census result
56, São Tomé and Príncipe,"194,000",0.02,2.65,"5,000",27,"179,200",13-May-12,Final 2012 census result
57, Seychelles,"97,000",0.01,1.04,"1,000",67,"90,945",26-Aug-10,Final 2010 census result
58," Saint Helena, Ascension and Tristan da Cunha (UK)","4,000",<0.01,0,0,-,"4,255",10-Feb-08,2008 census result
,Total,"1,153,308,000",100,2.68,"30,155,000",26,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
African population by country (top 8).,,,,,,,,,
,,,,,,,,,
  Nigeria (15.38%),,,,,,,,,
  Ethiopia (8.37%),,,,,,,,,
  Egypt (7.65%),,,,,,,,,
  Democratic Republic of the Congo (6.57%),,,,,,,,,
  Tanzania (4.55%),,,,,,,,,
  South Africa (4.47%),,,,,,,,,
  Kenya (3.88%),,,,,,,,,
  Sudan (3.38%),,,,,,,,,
  Other (45.75%),,,,,,,,,
,,,,,,,,,
See also[edit],,,,,,,,,
,,,,,,,,,
List of countries by population,,,,,,,,,
List of countries in the Americas by population,,,,,,,,,
List of Arab countries by population,,,,,,,,,
List of Asian countries by population,,,,,,,,,
List of Caribbean island countries by population,,,,,,,,,
List of Eurasian countries by population,,,,,,,,,
List of European countries by population,,,,,,,,,
List of European Union member states by population,,,,,,,,,
List of Latin American countries by population,,,,,,,,,
List of member states of the Commonwealth of Nations by population,,,,,,,,,
